model,hidden_layer_sizes,activation,solver,alpha,precision_score,recall_score,f1_score,roc_auc_score
MLPClassifier,"(70, 20, 45, 10)",tanh,sgd,1e-05,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.862155388471178
MLPClassifier,"(70, 20, 45, 10)",tanh,sgd,0.0001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.862155388471178
MLPClassifier,"(70, 20, 45, 10)",tanh,sgd,0.001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.862155388471178
MLPClassifier,"(70, 20, 45, 10)",tanh,sgd,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.87468671679198
MLPClassifier,"(70, 20, 45, 10)",tanh,sgd,0.1,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.8571428571428572
MLPClassifier,"(70, 20, 45, 10)",tanh,sgd,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.93734335839599
MLPClassifier,"(70, 20, 45, 10)",tanh,lbfgs,1e-05,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.786967418546366
MLPClassifier,"(70, 20, 45, 10)",tanh,lbfgs,0.0001,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7794486215538847
MLPClassifier,"(70, 20, 45, 10)",tanh,lbfgs,0.001,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.912280701754386
MLPClassifier,"(70, 20, 45, 10)",tanh,lbfgs,0.01,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.7644110275689223
MLPClassifier,"(70, 20, 45, 10)",tanh,lbfgs,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7819548872180452
MLPClassifier,"(70, 20, 45, 10)",tanh,lbfgs,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9223057644110276
MLPClassifier,"(70, 20, 45, 10)",relu,adam,1e-05,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8972431077694236
MLPClassifier,"(70, 20, 45, 10)",relu,adam,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.887218045112782
MLPClassifier,"(70, 20, 45, 10)",relu,adam,0.001,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.8947368421052632
MLPClassifier,"(70, 20, 45, 10)",relu,adam,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8796992481203008
MLPClassifier,"(70, 20, 45, 10)",relu,adam,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8421052631578948
MLPClassifier,"(70, 20, 45, 10)",relu,adam,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8972431077694236
MLPClassifier,"(70, 20, 45, 10)",relu,sgd,1e-05,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8646616541353384
MLPClassifier,"(70, 20, 45, 10)",relu,sgd,0.0001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9047619047619048
MLPClassifier,"(70, 20, 45, 10)",relu,sgd,0.001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.862155388471178
MLPClassifier,"(70, 20, 45, 10)",relu,sgd,0.01,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8646616541353384
MLPClassifier,"(70, 20, 45, 10)",relu,sgd,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.887218045112782
MLPClassifier,"(70, 20, 45, 10)",relu,sgd,1.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8596491228070176
MLPClassifier,"(70, 20, 45, 10)",relu,lbfgs,1e-05,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8345864661654135
MLPClassifier,"(70, 20, 45, 10)",relu,lbfgs,0.0001,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7969924812030076
MLPClassifier,"(70, 20, 45, 10)",relu,lbfgs,0.001,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.8145363408521303
MLPClassifier,"(70, 20, 45, 10)",relu,lbfgs,0.01,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8195488721804511
MLPClassifier,"(70, 20, 45, 10)",relu,lbfgs,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7568922305764412
MLPClassifier,"(70, 20, 45, 10)",relu,lbfgs,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8020050125313284
MLPClassifier,"(70, 20, 45, 10)",logistic,adam,1e-05,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.849624060150376
MLPClassifier,"(70, 20, 45, 10)",logistic,adam,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8421052631578948
MLPClassifier,"(70, 20, 45, 10)",logistic,adam,0.001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428572
